Datetime,Building Load (kWh),PV (kWh),Price (Euros/kWh),EV2 (A),EV2 (kW),EV2 (kWh),EV0 (A),EV0 (kW),EV0 (kWh),EV3 (A),EV3 (kW),EV3 (kWh),EV1 (A),EV1 (kW),EV1 (kWh)
2022-03-21 13:05:00,13.194,-11.6032,0.15699,20.0,6.308000063079252,-5.013583680196426e-12,20,6.308000063073623,-4.2783784452735634e-11,20,6.308000063078765,-8.275227973644821e-12,20.0,6.308000061660516,-9.445755970525544e-09
2022-03-21 13:10:00,13.4652,-11.5338,0.15699,20.0,6.308000063073612,-4.219053709543486e-12,20,6.308000063073028,-4.0220523223162746e-11,20,6.3080000630778645,-7.717765469800766e-12,20.0,6.308000061700566,-9.234342136289628e-09
2022-03-21 13:15:00,13.711,-11.4124,0.15699,20.0,6.308000063078859,-4.298085327357458e-12,20,6.308000063073866,-3.777213968354256e-11,20,6.308000063078418,-7.278634387256927e-12,20.0,6.308000061720918,-9.021246483523824e-09
2022-03-21 13:20:00,15.346799999999998,-11.4344,0.15699,20.0,6.308000063079406,-3.981749049694872e-12,20,6.308000062612898,-3.819368827064901e-13,20,6.30800006307898,-6.837190723789285e-12,20.0,6.308000061767,-8.810203617787413e-09
2022-03-21 13:25:00,14.034,-11.3042,0.15699,20.0,6.308000063079458,-3.623781989415823e-12,20,6.308000063074776,-3.5044140580062e-11,20,6.308000063079052,-6.354276863103545e-12,20.0,6.308000061779307,-8.596321152898704e-09
2022-03-21 13:30:00,15.218999999999998,-11.151599999999998,0.15699,20.0,6.308000063079512,-3.265322315803653e-12,20,6.308000063075171,-3.2378758057790246e-11,20,6.308000063079125,-5.871153538263152e-12,20.0,6.308000027210273,6.113598356905314e-12
2022-03-21 13:35:00,16.1094,-11.0982,0.15699,20.0,6.308000063079081,-2.870542925662205e-12,20,6.308000063075058,-2.9671977304056126e-11,20,6.3080000630787225,-5.351118281208294e-12,20.0,6.308000061797878,-8.524277091712615e-09
2022-03-21 13:40:00,13.548199999999998,-11.0868,0.15699,20.0,6.308000063078708,-2.4844801018346466e-12,20,6.3080000624658,1.8976868352568672e-11,20,6.308000063078291,-4.831941918122064e-12,20.0,6.308000061839593,-8.303338892175942e-09
2022-03-21 13:45:00,13.4794,-10.9824,0.15699,20.0,6.30800006304886,0.0,20,6.308000062690915,0.0,20,6.308000063019926,0.0,20.0,6.308000047530892,0.0
2022-03-21 13:50:00,13.6688,-10.8504,0.15699,20.0,6.308000063078871,-2.081322358801214e-12,20,6.308000063074997,-2.7983320015946317e-11,20,6.3080000630785,-4.307101292540941e-12,20.0,6.308000061835962,-8.269922134444868e-09
2022-03-21 13:55:00,13.9434,-10.8086,0.15699,20.0,6.308000063079742,-1.723052508793469e-12,20,6.308000063076335,-2.458289570054781e-11,20,6.308000063079427,-3.836231318542724e-12,20.0,6.308000060215914,-7.942603205347284e-09
2022-03-21 14:00:00,13.5196,-10.718,0.15,20.0,6.308000063079062,-1.249819382332457e-12,20,6.308000063076102,-2.105440816748e-11,20,6.308000063078772,-3.241386710098784e-12,20.0,6.308000061905343,-7.804351711794816e-09
2022-03-21 14:05:00,14.0174,-10.7048,0.15,20.0,6.308000063079868,-8.77935160781695e-13,20,6.308000063077372,-1.763345366626708e-11,20,6.3080000630795885,-2.7578037797769696e-12,20.0,6.3080000619515895,-7.571593319508751e-09
